Title,Price,Area,Link
"2 BHK Apartment for Sale in Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi Pune","₹ 80 Lac","786 sqft","N/A"
"2 BHK Apartment for Sale in Paranjape Blue Ridge, Hinjawadi Pune","₹ 84.9 Lac","793 sqft","https://www.magicbricks.com/paranjape-blue-ridge-hinjewadi-pune-pdpid-4d4235303030353630"
"3 BHK Apartment for Sale in Geras Joy on the Treetops, Phase 3 Hinjewadi Rajiv Gandhi Infotech Park Pune","₹ 1 Cr","1238 sqft","https://www.magicbricks.com/geras-joy-on-the-treetops-hinjewadi-phase-3-pune-pdpid-4d4235343235343937"
"2 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune","₹ 1.20 Cr","862 sqft","https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039"
"3 BHK Apartment for Sale in Ashiana Malhar, Hinjawadi Pune","₹ 1.11 Cr","1040 sqft","https://www.magicbricks.com/ashiana-malhar-hinjewadi-pune-pdpid-4d4235333334343239"
"3 BHK Apartment for Sale in The Ridges 41, Hinjawadi Pune","₹ 1.45 Cr","1272 sqft","https://www.magicbricks.com/the-ridges-41-hinjewadi-pune-pdpid-4d4235343231313737"
"2 BHK Apartment for Sale in Rama Fusion Towers, Hinjawadi Pune","₹ 64.5 Lac","679 sqft","https://www.magicbricks.com/rama-fusion-towers-hinjewadi-pune-pdpid-4d4235313138363433"
"2 BHK Apartment for Sale in Kohinoor Coral, Hinjawadi Pune","₹ 48.4 Lac","529 sqft","https://www.magicbricks.com/kohinoor-coral-hinjewadi-pune-pdpid-4d4235313237313135"
"2 BHK Apartment for Sale in Kohinoor Coral, Hinjawadi Pune","₹ 51.2 Lac","560 sqft","https://www.magicbricks.com/kohinoor-coral-hinjewadi-pune-pdpid-4d4235313237313135"
"2 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune","₹ 1.31 Cr","997 sqft","https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039"
"3 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune","₹ 1.69 Cr","1291 sqft","https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039"
"2 BHK Apartment for Sale in Kolte Patil Duet, Marunji, Hinjawadi Pune","₹ 66 Lac","734 sqft","https://www.magicbricks.com/kolte-patil-duet-marunji-pune-pdpid-4d4235343239363737"
"3 BHK Apartment for Sale in Kolte Patil Life Republic Sector R22 Avenue Atmos, Hinjawadi Pune","₹ 1.04 Cr","1037 sqft","https://www.magicbricks.com/kolte-patil-life-republic-sector-r22-avenue-atmos-hinjewadi-pune-pdpid-4d4235343136373839"
"3 BHK Apartment for Sale in Geras Joy on the Treetops, Phase 3 Hinjewadi Rajiv Gandhi Infotech Park Pune","₹ 1.38 Cr","1215 sqft","https://www.magicbricks.com/geras-joy-on-the-treetops-hinjewadi-phase-3-pune-pdpid-4d4235343235343937"
"3 BHK Apartment for Sale in Pride Park Titan, Marunji, Hinjawadi Pune","₹ 1.04 Cr","988 sqft","https://www.magicbricks.com/pride-park-titan-marunji-pune-pdpid-4d4235333235333539"
"2 BHK Apartment for Sale in Phase 2 Hinjewadi Rajiv Gandhi Infotech Park Pune","₹ 68 Lac","688 sqft","N/A"
"3 BHK Apartment for Sale in Phase 1 Hinjewadi Rajiv Gandhi Infotech Park Pune","₹ 1.53 Cr","1201 sqft","N/A"
